respondent_id,age_group,roast_level,self_rated_expertise,coffee_a_bitterness_1to5,coffee_a_acidity_1to5,coffee_a_preference_1to5,brew_method
0EjqPQ,25-34 years old,Light,7,3,4,2,Pour over
1r2oVQ,25-34 years old,Light,9,2,4,4,Pour over
42N0Kd,18-24 years old,Medium,7,2,4,3,French press
42PXe5,25-34 years old,Medium,5,2,3,4,Espresso
6dQ0eO,25-34 years old,Medium,3,1,4,3,Espresso
8djGNl,25-34 years old,Light,2,1,5,3,Coffee brewing machine (e.g. Mr. Coffee)
8djo9k,35-44 years old,Medium,2,3,3,2,Espresso
8dp4kx,18-24 years old,Medium,7,2,4,5,Pour over
AlW2vk,55-64 years old,Blonde,2,2,2,1,Other
KMBEgk,25-34 years old,Light,7,2,4,4,Pour over
KMPEj7,35-44 years old,Light,9,2,4,2,Espresso
LdVpav,25-34 years old,Medium,7,1,3,4,Pour over
MAdWMA,25-34 years old,Light,7,2,4,5,Pour over
MAdp5Y,25-34 years old,Light,7,2,5,5,Pour over
OAB2Yg,55-64 years old,Medium,7,4,4,2,Coffee brewing machine (e.g. Mr. Coffee)
PA21Nx,25-34 years old,Light,3,1,5,2,Espresso
PABJ9V,45-54 years old,Light,4,3,3,4,Pour over
QAB6JY,35-44 years old,Medium,7,4,2,3,Coffee brewing machine (e.g. Mr. Coffee)
WApVPJ,25-34 years old,Dark,5,2,4,1,French press
XeB6OP,25-34 years old,Light,6,1,4,4,Espresso
XeBPMd,35-44 years old,Medium,4,3,4,2,Pour over
aBjMgv,18-24 years old,Medium,6,2,3,3,Espresso
g5N6Gl,35-44 years old,Medium,7,4,3,4,Espresso
jB9A09,35-44 years old,Medium,6,1,4,4,Pour over
jB9AxR,18-24 years old,Light,6,1,3,2,Pour over
jB9V7x,35-44 years old,Medium,5,1,3,5,Coffee brewing machine (e.g. Mr. Coffee)
oAVP25,25-34 years old,Light,6,2,4,4,Pour over
oAVjyx,35-44 years old,Light,5,2,3,4,Pour over
oAlKke,35-44 years old,Light,7,1,4,2,Pour over
xd4bKy,25-34 years old,Light,6,2,2,3,Pour over
yl0W8X,18-24 years old,Light,5,2,4,3,Pour over
zKQ4kq,45-54 years old,Medium,8,2,4,1,Pour over
